Uniprot ID,Biological Process (GO),Cellular Component (GO),Gene,Protein,Selected CC,Top Enriched BP
Q13509,_de novo_ posttranslational protein folding;axon guidance;cellular protein metabolic process;microtubule-based process;protein folding;protein polymerization,cytoplasm;nucleus,TUBB3,Tubulin beta-3 chain,cytoplasm,cellular protein metabolic process
P62701,cellular protein metabolic process;gene expression;mRNA metabolic process;multicellular organismal development;nuclear-transcribed mRNA catabolic process - nonsense-mediated decay;positive regulation of cell proliferation;positive regulation of translation;RNA metabolic process;SRP-dependent cotranslational protein targeting to membrane;translation;translational elongation;translational initiation;translational termination;viral infectious cycle;viral process;viral transcription,cytosol;cytoplasm,RPS4X,40S ribosomal protein S4 - X isoform,cytosol,cellular protein metabolic process
Q9NY33,proteolysis,cytoplasm;nucleus;plasma membrane,DPP3,Dipeptidyl peptidase 3,plasma membrane,proteolysis
P33176,cellular protein metabolic process;cytoplasm organization;microtubule-based movement;positive regulation of establishment of protein localization to plasma membrane;positive regulation of potassium ion transport;regulation of membrane potential;stress granule disassembly;vesicle transport along microtubule,cytoplasm;microtubule organising centre,KIF5B,Kinesin-1 heavy chain,microtubule organising centre,cellular protein metabolic process
P13645,cellular response to calcium ion;keratinocyte differentiation,cytoplasm;extracellular;nucleus,KRT10,Keratin - type I cytoskeletal 10,extracellular,keratinocyte differentiation
P46940,cellular response to calcium ion;cellular response to epidermal growth factor stimulus;energy reserve metabolic process;epidermal growth factor receptor signaling pathway;glomerular visceral epithelial cell development;negative regulation of catalytic activity;negative regulation of dephosphorylation;positive regulation of GTPase activity;positive regulation of protein kinase activity;positive regulation of protein serine/threonine kinase activity;regulation of cytokine production;regulation of insulin secretion;signal transduction;small GTPase mediated signal transduction;small molecule metabolic process,cytoplasm;plasma membrane;nucleus,IQGAP1,Ras GTPase-activating-like protein IQGAP1,plasma membrane,small molecule metabolic process
P01871,adaptive immune response;antibacterial humoral response;defense response to Gram-negative bacterium;innate immune response,extracellular;plasma membrane,IGHM,Ig mu chain C region,extracellular,innate immune response
P01614,complement activation;complement activation - classical pathway;Fc-epsilon receptor signaling pathway;Fc-gamma receptor signaling pathway involved in phagocytosis;immune response;innate immune response;regulation of immune response,extracellular;plasma membrane,P01614,Ig kappa chain V-II region Cum,extracellular,innate immune response
P98160,angiogenesis;brain development;carbohydrate metabolic process;cardiac muscle tissue development;cartilage development involved in endochondral bone morphogenesis;chondrocyte differentiation;chondroitin sulfate metabolic process;embryonic skeletal system morphogenesis;endochondral ossification;extracellular matrix disassembly;extracellular matrix organization;glycosaminoglycan biosynthetic process;glycosaminoglycan catabolic process;glycosaminoglycan metabolic process;lipoprotein metabolic process;phototransduction - visible light;protein localization;retinoid metabolic process;small molecule metabolic process,extracellular;golgi apparatus;lysosome;plasma membrane,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,extracellular,small molecule metabolic process
Q15165,aromatic compound catabolic process;response to oxidative stress,extracellular;lysosome;mitochondrion;nucleus;plasma membrane,PON2,Serum paraoxonase/arylesterase 2,extracellular,response to oxidative stress
P68371,_de novo_ posttranslational protein folding;cellular component movement;cellular protein metabolic process;G2/M transition of mitotic cell cycle;microtubule-based process;mitotic cell cycle;natural killer cell mediated cytotoxicity;protein folding;protein polymerization,cytoplasm;cytosol;nucleus,TUBB4B,Tubulin beta-4B chain,cytosol,cellular protein metabolic process
P68431,blood coagulation;chromatin organization;DNA replication-dependent nucleosome assembly;regulation of gene silencing,extracellular;nucleus,HIST1H3A,Histone H3.1,extracellular,blood coagulation
P68032,actin filament-based movement;actin-myosin filament sliding;actomyosin structure organization;apoptotic process;ATP catabolic process;cardiac muscle contraction;cardiac muscle tissue morphogenesis;cardiac myofibril assembly;heart contraction;muscle filament sliding;negative regulation of apoptotic process;response to drug;response to ethanol;skeletal muscle thin filament assembly,cytoplasm;extracellular;cytosol,ACTC1,Actin - alpha cardiac muscle 1,extracellular,negative regulation of apoptotic process
P45974,positive regulation of proteasomal ubiquitin-dependent protein catabolic process;protein K48-linked deubiquitination;ubiquitin-dependent protein catabolic process,lysosome,USP5,Ubiquitin carboxyl-terminal hydrolase 5,lysosome,positive regulation of proteasomal ubiquitin-dependent protein catabolic process
P01023,blood coagulation;blood coagulation - intrinsic pathway;extracellular matrix disassembly;extracellular matrix organization;negative regulation of complement activation - lectin pathway;negative regulation of endopeptidase activity;platelet activation;platelet degranulation;regulation of small GTPase mediated signal transduction;small GTPase mediated signal transduction;stem cell differentiation,extracellular;cytosol,A2M,Alpha-2-macroglobulin,extracellular,blood coagulation
P00338,cellular carbohydrate metabolic process;cellular metabolic process;cellular response to extracellular stimulus;glycolysis;pyruvate metabolic process;small molecule metabolic process;substantia nigra development,cytosol;mitochondrion;nucleus,LDHA,L-lactate dehydrogenase A chain,mitochondrion,small molecule metabolic process
P40925,carbohydrate metabolic process;cellular carbohydrate metabolic process;gluconeogenesis;glucose metabolic process;malate metabolic process;NADH metabolic process;oxaloacetate metabolic process;small molecule metabolic process;tricarboxylic acid cycle,centrosome;cytoplasm;cytosol;extracellular;mitochondrion,MDH1,Malate dehydrogenase - cytoplasmic,extracellular,small molecule metabolic process
Q15257,ATP catabolic process;mitotic spindle organization in nucleus;negative regulation of phosphoprotein phosphatase activity;negative regulation of protein dephosphorylation;positive regulation of apoptotic process;positive regulation of phosphoprotein phosphatase activity;positive regulation of protein dephosphorylation;protein folding;protein peptidyl-prolyl isomerization;regulation of phosphoprotein phosphatase activity,cytoplasm;nucleus,PPP2R4,Serine/threonine-protein phosphatase 2A activator,cytoplasm,protein folding
P35580,actin filament-based movement;actomyosin structure organization;adult heart development;ATP catabolic process;axon guidance;cardiac myofibril assembly;cell adhesion;cell proliferation;cerebellar Purkinje cell layer development;exocytosis;fourth ventricle development;in utero embryonic development;lateral ventricle development;mitotic cytokinesis;neuromuscular process controlling balance;neuron migration;nuclear migration;plasma membrane repair;regulation of cell shape;retina development in camera-type eye;substrate-dependent cell migration - cell extension;third ventricle development;ventricular cardiac muscle cell development,cytoplasm;nucleus;plasma membrane,MYH10,Myosin-10,plasma membrane,ATP catabolic process
P68133,cell growth;muscle contraction;muscle filament sliding;response to extracellular stimulus;response to lithium ion;response to mechanical stimulus;response to steroid hormone stimulus;skeletal muscle fiber adaptation;skeletal muscle fiber development;skeletal muscle thin filament assembly,cytoplasm;extracellular;cytosol,ACTA1,Actin - alpha skeletal muscle,extracellular,muscle contraction
P02774,small molecule metabolic process;steroid metabolic process;vitamin D metabolic process;vitamin transport,extracellular;cytosol;lysosome,GC,Vitamin D-binding protein,extracellular,small molecule metabolic process
O95865,arginine catabolic process;citrulline metabolic process;negative regulation of apoptotic process;nitric oxide biosynthetic process;nitric oxide mediated signal transduction;positive regulation of nitric oxide biosynthetic process,mitochondrion,DDAH2,N(G) -N(G)-dimethylarginine dimethylaminohydrolase 2,mitochondrion,negative regulation of apoptotic process
P02788,antibacterial humoral response;antifungal humoral response;bone morphogenesis;humoral immune response;innate immune response in mucosa;interaction with host;iron assimilation by chelation and transport;iron ion transport;negative regulation of apoptotic process;negative regulation of lipopolysaccharide-mediated signaling pathway;negative regulation of osteoclast development;negative regulation of single-species biofilm formation in or on host organism;negative regulation of tumor necrosis factor (ligand) superfamily member 11 production;ossification;phagosome maturation;positive regulation of bone mineralization involved in bone maturation;positive regulation of I-kappaB kinase/NF-kappaB cascade;positive regulation of NF-kappaB transcription factor activity;positive regulation of osteoblast differentiation;positive regulation of osteoblast proliferation;positive regulation of protein serine/threonine kinase activity;positive regulation of toll-like receptor 4 signaling pathway;regulation of cytokine production;regulation of tumor necrosis factor production;response to host immune response;retina homeostasis;transcription - DNA-dependent,extracellular;nucleus,LTF,Lactotransferrin,extracellular,retina homeostasis
P04004,cell adhesion;cell adhesion mediated by integrin;cell-matrix adhesion;extracellular matrix organization;immune response;innate immune response;negative regulation of blood coagulation;negative regulation of endopeptidase activity;positive regulation of cell-substrate adhesion;positive regulation of peptidyl-tyrosine phosphorylation;positive regulation of protein binding;positive regulation of receptor-mediated endocytosis;positive regulation of smooth muscle cell migration;positive regulation of vascular endothelial growth factor receptor signaling pathway;positive regulation of wound healing;regulation of complement activation;smooth muscle cell-matrix adhesion,extracellular,VTN,Vitronectin,extracellular,innate immune response
P05090,aging;angiogenesis;brain development;glucose metabolic process;lipid metabolic process;lipid transport;negative regulation of cytokine production involved in inflammatory response;negative regulation of focal adhesion assembly;negative regulation of lipoprotein lipid oxidation;negative regulation of monocyte chemotactic protein-1 production;negative regulation of platelet-derived growth factor receptor signaling pathway;negative regulation of protein import into nucleus;negative regulation of smooth muscle cell proliferation;negative regulation of smooth muscle cell-matrix adhesion;negative regulation of T cell migration;peripheral nervous system axon regeneration;response to axon injury;response to drug;response to reactive oxygen species;tissue regeneration,cytosol;endoplasmic reticulum;extracellular;cytoplasm,APOD,Apolipoprotein D,extracellular,glucose metabolic process
Q02952,G-protein coupled receptor signaling pathway;positive regulation of cAMP biosynthetic process;positive regulation of protein kinase A signaling cascade;protein targeting;regulation of protein kinase C signaling cascade,cytoplasm,AKAP12,A-kinase anchor protein 12,cytoplasm,protein targeting
Q13409,antigen processing and presentation of exogenous peptide antigen via MHC class II;G2/M transition of mitotic cell cycle;metabolic process;microtubule-based movement;mitotic cell cycle;transport;viral process,centrosome;cytoplasm;cytosol,DYNC1I2,Cytoplasmic dynein 1 intermediate chain 2,centrosome,viral process
P09211,cellular response to lipopolysaccharide;central nervous system development;common myeloid progenitor cell proliferation;glutathione derivative biosynthetic process;glutathione metabolic process;negative regulation of acute inflammatory response;negative regulation of apoptotic process;negative regulation of biosynthetic process;negative regulation of ERK1 and ERK2 cascade;negative regulation of extrinsic apoptotic signaling pathway;negative regulation of fibroblast proliferation;negative regulation of I-kappaB kinase/NF-kappaB cascade;negative regulation of interleukin-1 beta production;negative regulation of JUN kinase activity;negative regulation of leukocyte proliferation;negative regulation of MAP kinase activity;negative regulation of MAPK cascade;negative regulation of monocyte chemotactic protein-1 production;negative regulation of nitric-oxide synthase biosynthetic process;negative regulation of protein kinase activity;negative regulation of stress-activated MAPK cascade;negative regulation of tumor necrosis factor production;negative regulation of tumor necrosis factor-mediated signaling pathway;nitric oxide storage;positive regulation of superoxide anion generation;regulation of ERK1 and ERK2 cascade;regulation of stress-activated MAPK cascade;response to reactive oxygen species;small molecule metabolic process;xenobiotic metabolic process,cytoplasm;cytosol;extracellular;mitochondrion;nucleus;plasma membrane,GSTP1,Glutathione S-transferase P,extracellular,small molecule metabolic process
P02792,cell death;cellular iron ion homeostasis;iron ion homeostasis;iron ion transport;membrane organization;post-Golgi vesicle-mediated transport;transmembrane transport,cytosol,FTL,Ferritin light chain,cytosol,membrane organization
Q92616,regulation of translation;translation,cytoplasm,GCN1L1,Translational activator GCN1,cytoplasm,translation
P52907,actin cytoskeleton organization;actin filament capping;blood coagulation;cellular component movement;innate immune response;protein complex assembly,cytoplasm;cytosol;extracellular,CAPZA1,F-actin-capping protein subunit alpha-1,extracellular,blood coagulation
P51159,antigen processing and presentation;blood coagulation;cellular protein metabolic process;cytotoxic T cell degranulation;exocytosis;melanocyte differentiation;melanosome transport;multivesicular body sorting pathway;natural killer cell degranulation;positive regulation of exocytosis;protein targeting;small GTPase mediated signal transduction,plasma membrane;golgi apparatus;endosome;lysosome,RAB27A,Ras-related protein Rab-27A,plasma membrane,blood coagulation
P49419,cellular aldehyde metabolic process;cellular nitrogen compound metabolic process;glycine betaine biosynthetic process from choline;lysine catabolic process;sensory perception of sound;small molecule metabolic process,cytoplasm;cytosol;mitochondrion;nucleus,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase,mitochondrion,small molecule metabolic process
O15144,cellular component movement;Fc-gamma receptor signaling pathway involved in phagocytosis;innate immune response;positive regulation of actin filament polymerization;positive regulation of lamellipodium assembly;positive regulation of substrate adhesion-dependent cell spreading,cytoplasm;cytosol;endosome;golgi apparatus;plasma membrane,ARPC2,Actin-related protein 2/3 complex subunit 2,plasma membrane,innate immune response
Q92896,blood coagulation;bone morphogenesis;leukocyte migration;negative regulation of protein processing;negative regulation of transforming growth factor beta receptor signaling pathway;regulation of chondrocyte differentiation,extracellular;golgi apparatus;plasma membrane,GLG1,Golgi apparatus protein 1,extracellular,blood coagulation
P51858,activation of signaling protein activity involved in unfolded protein response;cell proliferation;cellular protein metabolic process;endoplasmic reticulum unfolded protein response;negative regulation of transcription from RNA polymerase II promoter;signal transduction,cytoplasm;extracellular;nucleus,HDGF,Hepatoma-derived growth factor,extracellular,cellular protein metabolic process
O00299,chloride transport;positive regulation of osteoblast differentiation;regulation of mitochondrial membrane potential;signal transduction,extracellular;cytoplasm;mitochondrion;nucleus;plasma membrane,CLIC1,Chloride intracellular channel protein 1,extracellular,signal transduction
Q96HC4,regulation of dendritic spine morphogenesis;regulation of synapse assembly,cytoplasm;cytosol,PDLIM5,PDZ and LIM domain protein 5,cytosol,regulation of synapse assembly
P08473,angiotensin maturation;beta-amyloid metabolic process;cellular protein metabolic process;cellular response to cytokine stimulus;cellular response to UV-A;cellular response to UV-B;creatinine metabolic process;kidney development;peptide metabolic process;proteolysis;replicative senescence;sensory perception of pain,cytoplasm;plasma membrane,MME,Neprilysin,plasma membrane,cellular protein metabolic process
Q00796,fructose biosynthetic process;glucose metabolic process;L-xylitol catabolic process;L-xylitol metabolic process;sorbitol catabolic process;sperm motility,extracellular;mitochondrion,SORD,Sorbitol dehydrogenase,extracellular,glucose metabolic process
P22695,aerobic respiration;cellular metabolic process;oxidative phosphorylation;respiratory electron transport chain;small molecule metabolic process,mitochondrion,UQCRC2,Cytochrome b-c1 complex subunit 2 - mitochondrial,mitochondrion,small molecule metabolic process
P32119,cellular response to oxidative stress;hydrogen peroxide catabolic process;negative regulation of apoptotic process;negative regulation of neuron apoptotic process;regulation of apoptotic process;removal of superoxide radicals;response to oxidative stress,cytoplasm;cytosol,PRDX2,Peroxiredoxin-2,cytosol,negative regulation of apoptotic process
P02749,blood coagulation - intrinsic pathway;negative regulation of angiogenesis;negative regulation of blood coagulation;negative regulation of endothelial cell migration;negative regulation of endothelial cell proliferation;negative regulation of fibrinolysis;negative regulation of myeloid cell apoptotic process;negative regulation of smooth muscle cell apoptotic process;plasminogen activation;positive regulation of blood coagulation;positive regulation of lipoprotein lipase activity;regulation of fibrinolysis;triglyceride metabolic process;triglyceride transport,extracellular,APOH,Beta-2-glycoprotein 1,extracellular,negative regulation of fibrinolysis
Q16851,carbohydrate metabolic process;cellular glucuronidation;glucose 1-phosphate metabolic process;glucose metabolic process;glycogen biosynthetic process;small molecule metabolic process;UDP-glucose metabolic process;UDP-glucuronate biosynthetic process;xenobiotic metabolic process,cytosol;nucleus,UGP2,UTP--glucose-1-phosphate uridylyltransferase,cytosol,small molecule metabolic process
Q9ULA0,peptide metabolic process,extracellular;cytoplasm;nucleus,DNPEP,Aspartyl aminopeptidase,extracellular,peptide metabolic process
P07737,actin cytoskeleton organization;blood coagulation;cell death;cellular response to growth factor stimulus;negative regulation of actin filament bundle assembly;negative regulation of actin filament polymerization;negative regulation of stress fiber assembly;neural tube closure;platelet activation;platelet degranulation;positive regulation of actin filament polymerization;positive regulation of ATPase activity;positive regulation of DNA metabolic process;positive regulation of epithelial cell migration;positive regulation of ruffle assembly;positive regulation of stress fiber assembly;positive regulation of transcription from RNA polymerase II promoter;positive regulation of viral transcription,extracellular;cytoplasm;cytosol;nucleus,PFN1,Profilin-1,extracellular,blood coagulation
P01833,detection of chemical stimulus involved in sensory perception of bitter taste;epidermal growth factor receptor signaling pathway;Fc receptor signaling pathway;immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor;receptor clustering;retina homeostasis,extracellular;plasma membrane,PIGR,Polymeric immunoglobulin receptor,extracellular,retina homeostasis
P20337,antigen processing and presentation;peptidyl-cysteine methylation;positive regulation of dopamine uptake involved in synaptic transmission;protein transport;regulation of exocytosis;regulation of vesicle size;small GTPase mediated signal transduction,cytoplasm;cytosol;plasma membrane,RAB3B,Ras-related protein Rab-3B,plasma membrane,small GTPase mediated signal transduction
P55786,antigen processing and presentation of peptide antigen via MHC class I;cellular response to hypoxia;protein polyubiquitination,cytosol;nucleus,NPEPPS,Puromycin-sensitive aminopeptidase,cytosol,protein polyubiquitination
P16035,aging;cellular response to organic substance;central nervous system development;extracellular matrix disassembly;extracellular matrix organization;negative regulation of cell proliferation;negative regulation of endopeptidase activity;negative regulation of mitotic cell cycle;negative regulation of proteolysis;negative regulation of Ras protein signal transduction;positive regulation of adenylate cyclase activity;positive regulation of MAPK cascade;positive regulation of neuron differentiation;regulation of Rap protein signal transduction;response to cytokine stimulus;response to drug,extracellular,TIMP2,Metalloproteinase inhibitor 2,extracellular,extracellular matrix organization
P61088,cellular protein modification process;cytokine-mediated signaling pathway;DNA double-strand break processing;double-strand break repair via homologous recombination;Fc-epsilon receptor signaling pathway;histone ubiquitination;innate immune response;MyD88-dependent toll-like receptor signaling pathway;nucleotide-binding domain - leucine rich repeat containing receptor signaling pathway;nucleotide-binding oligomerization domain containing signaling pathway;positive regulation of DNA repair;positive regulation of histone modification;positive regulation of I-kappaB kinase/NF-kappaB cascade;positive regulation of NF-kappaB transcription factor activity;positive regulation of ubiquitin-protein ligase activity;postreplication repair;protein K63-linked ubiquitination;protein ubiquitination;proteolysis;regulation of DNA repair;regulation of histone ubiquitination;T cell receptor signaling pathway;toll-like receptor 10 signaling pathway;toll-like receptor 2 signaling pathway;toll-like receptor 4 signaling pathway;toll-like receptor 5 signaling pathway;toll-like receptor 9 signaling pathway;toll-like receptor signaling pathway;toll-like receptor TLR1:TLR2 signaling pathway;toll-like receptor TLR6:TLR2 signaling pathway;ubiquitin-dependent protein catabolic process,cytoplasm;cytosol;nucleus,UBE2N,Ubiquitin-conjugating enzyme E2 N,cytosol,innate immune response
P84077,antigen processing and presentation of exogenous peptide antigen via MHC class II;cellular copper ion homeostasis;COPI coating of Golgi vesicle;dendritic spine organization;GTP catabolic process;long term synaptic depression;membrane organization;phosphatidylinositol biosynthetic process;phospholipid metabolic process;post-Golgi vesicle-mediated transport;protein transport;regulation of Arp2/3 complex-mediated actin nucleation;regulation of defense response to virus by virus;regulation of receptor internalization;retrograde vesicle-mediated transport - Golgi to ER;small GTPase mediated signal transduction;small molecule metabolic process;viral process,cytosol;golgi apparatus;cytoplasm;plasma membrane,ARF1,ADP-ribosylation factor 1,plasma membrane,small molecule metabolic process
P30041,hydrogen peroxide catabolic process;phospholipid catabolic process;response to oxidative stress,cytoplasm;cytosol;extracellular;lysosome,PRDX6,Peroxiredoxin-6,extracellular,hydrogen peroxide catabolic process
P36959,nucleobase-containing small molecule metabolic process;nucleotide metabolic process;purine nucleobase metabolic process;purine-containing compound salvage;response to cold;small molecule metabolic process,cytosol,GMPR,GMP reductase 1,cytosol,small molecule metabolic process
P02760,cell adhesion;female pregnancy;heme catabolic process;negative regulation of endopeptidase activity;negative regulation of immune response;negative regulation of JNK cascade;protein catabolic process;protein-chromophore linkage;viral process,extracellular;plasma membrane,AMBP,Protein AMBP,extracellular,viral process
P30101,antigen processing and presentation of exogenous peptide antigen via MHC class I;antigen processing and presentation of exogenous peptide antigen via MHC class I - TAP-dependent;antigen processing and presentation of peptide antigen via MHC class I;cell redox homeostasis;cellular protein metabolic process;positive regulation of extrinsic apoptotic signaling pathway;post-translational protein modification;protein folding;protein import into nucleus;protein N-linked glycosylation via asparagine;protein retention in ER lumen;proteolysis;response to endoplasmic reticulum stress;signal transduction,endoplasmic reticulum;nucleus,PDIA3,Protein disulfide-isomerase A3,endoplasmic reticulum,cellular protein metabolic process
P35609,blood coagulation;cell adhesion;focal adhesion assembly;microspike assembly;muscle filament sliding;negative regulation of potassium ion transmembrane transporter activity;negative regulation of potassium ion transport;negative regulation of protein localization to cell surface;platelet activation;platelet degranulation;positive regulation of potassium ion transmembrane transporter activity;positive regulation of potassium ion transport;protein homotetramerization;regulation of apoptotic process;regulation of membrane potential;synaptic transmission,cytoplasm;cytosol;extracellular,ACTN2,Alpha-actinin-2,extracellular,blood coagulation
Q9BQE3,_de novo_ posttranslational protein folding;cell division;cellular protein metabolic process;cytoskeleton-dependent intracellular transport;microtubule-based process;protein folding;protein polymerization,cytoplasm;nucleus,TUBA1C,Tubulin alpha-1C chain,cytoplasm,cellular protein metabolic process
P23528,actin cytoskeleton organization;actin filament depolymerization;axon guidance;blood coagulation;cytoskeleton organization;establishment of cell polarity;Fc-gamma receptor signaling pathway involved in phagocytosis;innate immune response;negative regulation of apoptotic process;negative regulation of cell size;neural crest cell migration;neural fold formation;platelet activation;platelet degranulation;positive regulation of actin filament depolymerization;protein import into nucleus;protein phosphorylation;regulation of cell morphogenesis;response to amino acid stimulus;response to virus;Rho protein signal transduction,cytoplasm;extracellular;plasma membrane;nucleus,CFL1,Cofilin-1,extracellular,blood coagulation
Q13126,cellular nitrogen compound metabolic process;L-methionine salvage from methylthioadenosine;nucleobase-containing compound metabolic process;polyamine metabolic process;purine ribonucleoside salvage;small molecule metabolic process;sulfur amino acid metabolic process,cytoplasm;cytosol;nucleus,MTAP,S-methyl-5'-thioadenosine phosphorylase,cytosol,small molecule metabolic process
P02787,blood coagulation;cellular iron ion homeostasis;platelet activation;platelet degranulation;retina homeostasis;transferrin transport;transmembrane transport,plasma membrane;extracellular;cytoplasm;endosome,TF,Serotransferrin,extracellular,blood coagulation
P01876,antibacterial humoral response;glomerular filtration;immune response;positive regulation of respiratory burst;protein-chromophore linkage;retina homeostasis,extracellular,IGHA1,Ig alpha-1 chain C region,extracellular,retina homeostasis
P07355,angiogenesis;body fluid secretion;cellular response to acid;collagen fibril organization;fibrinolysis;membrane budding;membrane raft assembly;negative regulation of catalytic activity;osteoclast development;positive regulation of binding;positive regulation of fibroblast proliferation;positive regulation of protein phosphorylation;positive regulation of vesicle fusion;protein heterotetramerization;protein targeting to plasma membrane,extracellular;cytoplasm;endosome;plasma membrane;lysosome;nucleus,ANXA2,Annexin A2,extracellular,fibrinolysis
Q8NCW5,protein homotetramerization,extracellular;mitochondrion,APOA1BP,NAD(P)H-hydrate epimerase,extracellular,protein homotetramerization
P22314,cell death;response to DNA damage stimulus;modification-dependent protein catabolic process;protein ubiquitination,cytoplasm;cytosol;mitochondrion;nucleus,UBA1,Ubiquitin-like modifier-activating enzyme 1,mitochondrion,cell death
P37802,epithelial cell differentiation,NOT DEFINED,TAGLN2,Transgelin-2,,epithelial cell differentiation
P28066,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;antigen processing and presentation of exogenous peptide antigen via MHC class I;antigen processing and presentation of exogenous peptide antigen via MHC class I - TAP-dependent;antigen processing and presentation of peptide antigen via MHC class I;apoptotic process;cellular nitrogen compound metabolic process;DNA damage response - signal transduction by p53 class mediator resulting in cell cycle arrest;G1/S transition of mitotic cell cycle;gene expression;mitotic cell cycle;mRNA metabolic process;negative regulation of apoptotic process;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;protein polyubiquitination;regulation of apoptotic process;regulation of cellular amino acid metabolic process;regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;RNA metabolic process;small molecule metabolic process;viral process,cytoplasm;cytosol;nucleus,PSMA5,Proteasome subunit alpha type-5,cytosol,small molecule metabolic process
P09871,complement activation;complement activation - classical pathway;innate immune response,extracellular,C1S,Complement C1s subcomponent,extracellular,innate immune response
P15289,autophagy;binding of sperm to zona pellucida;cellular protein metabolic process;central nervous system development;glycosphingolipid metabolic process;post-translational protein modification;response to estrogen stimulus;response to ethanol;response to methylmercury;response to nutrient;response to pH;small molecule metabolic process;sphingolipid metabolic process,endoplasmic reticulum;endosome;extracellular;plasma membrane;lysosome,ARSA,Arylsulfatase A,extracellular,small molecule metabolic process
Q96DG6,NOTDEFINED,cytosol,CMBL,Carboxymethylenebutenolidase homolog,cytosol,
P28070,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;antigen processing and presentation of exogenous peptide antigen via MHC class I;antigen processing and presentation of exogenous peptide antigen via MHC class I - TAP-dependent;antigen processing and presentation of peptide antigen via MHC class I;apoptotic process;cellular nitrogen compound metabolic process;DNA damage response - signal transduction by p53 class mediator resulting in cell cycle arrest;G1/S transition of mitotic cell cycle;gene expression;mitotic cell cycle;mRNA metabolic process;negative regulation of apoptotic process;negative regulation of inflammatory response to antigenic stimulus;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;protein polyubiquitination;regulation of apoptotic process;regulation of cellular amino acid metabolic process;regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;RNA metabolic process;small molecule metabolic process;viral process,cytosol;nucleus,PSMB4,Proteasome subunit beta type-4,cytosol,small molecule metabolic process
P61106,embryo development;endocytic recycling;fibroblast growth factor receptor signaling pathway;Golgi to endosome transport;GTP catabolic process;intracellular transport;membrane organization;protein transport;regulation of protein localization;small GTPase mediated signal transduction;vesicle-mediated transport,cytoplasm;cytosol;endosome;golgi apparatus;lysosome;plasma membrane;endoplasmic reticulum,RAB14,Ras-related protein Rab-14,plasma membrane,membrane organization
Q99497,adult locomotory behavior;autophagy;cellular response to hydrogen peroxide;cellular response to oxidative stress;dopamine uptake involved in synaptic transmission;hydrogen peroxide metabolic process;inflammatory response;membrane depolarization;membrane hyperpolarization;mitochondrion organization;negative regulation of cell death;negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway;negative regulation of extrinsic apoptotic signaling pathway;negative regulation of gene expression;negative regulation of hydrogen peroxide-mediated programmed cell death;negative regulation of neuron apoptotic process;negative regulation of neuron death;negative regulation of protein acetylation;negative regulation of protein binding;negative regulation of protein export from nucleus;negative regulation of protein kinase activity;negative regulation of protein phosphorylation;negative regulation of protein ubiquitination;negative regulation of ubiquitin-protein ligase activity;negative regulation of ubiquitin-specific protease activity;oxidation-reduction process;positive regulation of androgen receptor activity;positive regulation of interleukin-8 production;positive regulation of oxidative phosphorylation uncoupler activity;positive regulation of protein homodimerization activity;positive regulation of protein localization to nucleus;positive regulation of superoxide dismutase activity;positive regulation of transcription from RNA polymerase II promoter;protein stabilization;regulation of androgen receptor signaling pathway;regulation of inflammatory response;regulation of mitochondrial membrane potential;regulation of neuron apoptotic process;single fertilization,cytoplasm;cytosol;mitochondrion;nucleus;plasma membrane,PARK7,Protein DJ-1,plasma membrane,protein stabilization
P35908,epidermis development;keratinization;keratinocyte activation;keratinocyte migration;keratinocyte proliferation,cytoplasm;extracellular;golgi apparatus;nucleus,KRT2,Keratin - type II cytoskeletal 2 epidermal,extracellular,epidermis development
P01764,complement activation;complement activation - classical pathway;Fc-epsilon receptor signaling pathway;Fc-gamma receptor signaling pathway involved in phagocytosis;immune response;innate immune response;regulation of immune response,extracellular;plasma membrane,P01764,Ig heavy chain V-III region VH26,extracellular,innate immune response
P26038,cellular component movement;establishment of endothelial barrier;leukocyte cell-cell adhesion;leukocyte migration;membrane to membrane docking;positive regulation of gene expression;regulation of lymphocyte migration,plasma membrane;extracellular;cytoplasm,MSN,Moesin,extracellular,cellular component movement
P68871,bicarbonate transport;blood coagulation;hydrogen peroxide catabolic process;nitric oxide transport;oxidation-reduction process;oxygen transport;positive regulation of cell death;positive regulation of nitric oxide biosynthetic process;protein heterooligomerization;regulation of blood pressure;regulation of blood vessel size;renal absorption;response to hydrogen peroxide;small molecule metabolic process,extracellular;cytosol,HBB,Hemoglobin subunit beta,extracellular,small molecule metabolic process
